time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,id,place,type,magNst,Country,Continent_simplified,Continent_full,On_the_sea
2023-02-24T07:02:58.599Z,18.5969,-63.3603,35.298,4.5,mwr,91,68,0.608,0.93,us6000jr7i,"52 km NNW of Sandy Ground Village, Anguilla",earthquake,51,Anguilla,NA,North America,Caribbean Sea
2023-02-24T05:25:02.532Z,-5.5447,154.2238,144.099,4.9,mb,64,103,2.454,0.79,us6000jr73,"163 km WNW of Panguna, Papua New Guinea",earthquake,49,Papua New Guinea,OC,Oceania,Solomon Sea
2023-02-24T02:35:44.209Z,-6.0918,149.7834,43.537,4.6,mb,21,112,11.468,0.82,us6000jr68,"29 km ENE of Kandrian, Papua New Guinea",earthquake,17,Papua New Guinea,OC,Oceania,NO
2023-02-23T20:02:48.400Z,3.3237,128.1497,97.145,6.3,mww,116,33,2.653,0.9,us6000jr32,"177 km N of Tobelo, Indonesia",earthquake,31,UNKNOWN,UNKNOWN,UNKNOWN,Philippine Sea
2023-02-23T17:21:55.963Z,-6.0815,-106.4482,10,5,mb,64,158,24.75,0.68,us6000jr2a,central East Pacific Rise,earthquake,145,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-23T16:56:47.051Z,-11.6937,116.4272,10,4.6,mb,52,111,3.142,0.72,us6000jr25,"South of Lombok, Indonesia",earthquake,42,UNKNOWN,UNKNOWN,UNKNOWN,Indian Ocean
2023-02-23T15:53:47.342Z,36.019,36.0928,10,4.9,mww,187,34,1.46,0.86,us6000jr1t,"8 km NW of K??lak, Turkey",earthquake,37,Turkey,AS,Asia,NO
2023-02-23T13:01:20.909Z,-24.0471,-66.8984,214.011,5.3,mww,53,44,1.603,0.77,us6000jr0f,"61 km WNW of San Antonio de los Cobres, Argentina",earthquake,37,Argentina,SA,South America,NO
2023-02-23T11:24:32.941Z,38.3859,72.9777,61.679,4.6,mb,43,65,1.426,0.76,us6000jr07,"89 km WNW of Murghob, Tajikistan",earthquake,56,Tajikistan,AS,Asia,NO
2023-02-23T10:23:38.907Z,-33.9235,-73.2001,26.783,5.5,mww,80,51,1.347,1.12,us6000jqzy,"151 km WSW of San Antonio, Chile",earthquake,58,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-23T08:27:11.495Z,14.9872,-104.5024,16.716,4.5,mb,57,227,5.59,0.72,us6000jqzl,northern East Pacific Rise,earthquake,129,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-23T08:01:02.881Z,38.128,73.2184,10,4.7,mb,75,55,1.745,0.66,us6000jqzk,"65 km W of Murghob, Tajikistan",earthquake,91,Tajikistan,AS,Asia,NO
2023-02-23T06:50:49.137Z,38.4879,72.8122,10,4.5,mb,21,171,1.264,0.56,us6000jqze,"106 km WNW of Murghob, Tajikistan",earthquake,15,Tajikistan,AS,Asia,NO
2023-02-23T06:18:13.280Z,-8.5483,-77.6254,66.54,4.7,mb,44,154,3.503,0.47,us6000jqzb,"22 km SW of Quiches, Peru",earthquake,74,Peru,SA,South America,NO
